time,obstacle_id,x,y,z,radius
0.0,fast_crossing_ball_1,10.0,-14.0,-3.0,0.55
0.0,fast_crossing_ball_2,16.0,20.0,-3.0,0.55
0.0,diagonal_crossing_ball,22.0,-15.0,-3.0,0.5
0.0,inner_patrol_ball,26.8213,6.1821,-3.0,0.45
0.0,target_patrol_ball,29.7516,22.7279,-3.0,0.45
0.25,fast_crossing_ball_1,10.0,-14.0,-3.0,0.55
0.25,fast_crossing_ball_2,16.0,20.0,-3.0,0.55
0.25,diagonal_crossing_ball,22.0,-15.0,-3.0,0.5
0.25,inner_patrol_ball,26.6645,6.6036,-3.0,0.45
0.25,target_patrol_ball,29.7516,22.7279,-3.0,0.45
0.5,fast_crossing_ball_1,10.0,-14.0,-3.0,0.55
0.5,fast_crossing_ball_2,16.0,20.0,-3.0,0.55
0.5,diagonal_crossing_ball,22.0,-15.0,-3.0,0.5
0.5,inner_patrol_ball,26.4613,7.0049,-3.0,0.45
0.5,target_patrol_ball,29.7516,22.7279,-3.0,0.45
0.75,fast_crossing_ball_1,10.0,-14.0,-3.0,0.55
0.75,fast_crossing_ball_2,16.0,20.0,-3.0,0.55
0.75,diagonal_crossing_ball,22.0,-15.0,-3.0,0.5
0.75,inner_patrol_ball,26.2143,7.3808,-3.0,0.45
0.75,target_patrol_ball,29.7516,22.7279,-3.0,0.45
1.0,fast_crossing_ball_1,10.0,-14.0,-3.0,0.55
1.0,fast_crossing_ball_2,16.0,20.0,-3.0,0.55
1.0,diagonal_crossing_ball,22.0,-15.0,-3.0,0.5
1.0,inner_patrol_ball,25.9268,7.7266,-3.0,0.45
1.0,target_patrol_ball,29.7516,22.7279,-3.0,0.45
1.25,fast_crossing_ball_1,10.0,-14.0,-3.0,0.55
1.25,fast_crossing_ball_2,16.0,20.0,-3.0,0.55
1.25,diagonal_crossing_ball,22.0,-15.0,-3.0,0.5
1.25,inner_patrol_ball,25.6022,8.0379,-3.0,0.45
1.25,target_patrol_ball,29.7516,22.7279,-3.0,0.45
1.5,fast_crossing_ball_1,10.0,-14.0,-3.0,0.55
1.5,fast_crossing_ball_2,16.0,20.0,-3.0,0.55
1.5,diagonal_crossing_ball,22.0,-15.0,-3.0,0.5
1.5,inner_patrol_ball,25.2447,8.3108,-3.0,0.45
1.5,target_patrol_ball,29.7516,22.7279,-3.0,0.45
1.75,fast_crossing_ball_1,10.0,-14.0,-3.0,0.55
1.75,fast_crossing_ball_2,16.0,20.0,-3.0,0.55
1.75,diagonal_crossing_ball,22.0,-15.0,-3.0,0.5
1.75,inner_patrol_ball,24.8588,8.5419,-3.0,0.45
1.75,target_patrol_ball,29.7516,22.7279,-3.0,0.45
2.0,fast_crossing_ball_1,10.0,-14.0,-3.0,0.55
2.0,fast_crossing_ball_2,16.0,20.0,-3.0,0.55
2.0,diagonal_crossing_ball,22.0,-15.0,-3.0,0.5
2.0,inner_patrol_ball,24.4494,8.7282,-3.0,0.45
2.0,target_patrol_ball,29.7516,22.7279,-3.0,0.45
2.25,fast_crossing_ball_1,10.0,-14.0,-3.0,0.55
2.25,fast_crossing_ball_2,16.0,20.0,-3.0,0.55
2.25,diagonal_crossing_ball,22.0,-15.0,-3.0,0.5
2.25,inner_patrol_ball,24.0217,8.8673,-3.0,0.45
2.25,target_patrol_ball,29.7516,22.7279,-3.0,0.45
2.5,fast_crossing_ball_1,10.0,-14.0,-3.0,0.55
2.5,fast_crossing_ball_2,16.0,20.0,-3.0,0.55
2.5,diagonal_crossing_ball,22.0,-15.0,-3.0,0.5
2.5,inner_patrol_ball,23.5811,8.9576,-3.0,0.45
2.5,target_patrol_ball,29.7516,22.7279,-3.0,0.45
2.75,fast_crossing_ball_1,10.0,-14.0,-3.0,0.55
2.75,fast_crossing_ball_2,16.0,20.0,-3.0,0.55
2.75,diagonal_crossing_ball,22.0,-15.0,-3.0,0.5
2.75,inner_patrol_ball,23.1332,8.9978,-3.0,0.45
2.75,target_patrol_ball,29.7516,22.7279,-3.0,0.45
3.0,fast_crossing_ball_1,10.0,-14.0,-3.0,0.55
3.0,fast_crossing_ball_2,16.0,20.0,-3.0,0.55
3.0,diagonal_crossing_ball,22.0,-15.0,-3.0,0.5
3.0,inner_patrol_ball,22.6835,8.9875,-3.0,0.45
3.0,target_patrol_ball,29.7516,22.7279,-3.0,0.45
3.25,fast_crossing_ball_1,10.0,-13.7,-3.0,0.55
3.25,fast_crossing_ball_2,16.0,20.0,-3.0,0.55
3.25,diagonal_crossing_ball,22.0,-15.0,-3.0,0.5
3.25,inner_patrol_ball,22.2379,8.9267,-3.0,0.45
3.25,target_patrol_ball,29.7516,22.7279,-3.0,0.45
3.5,fast_crossing_ball_1,10.0,-13.4,-3.0,0.55
3.5,fast_crossing_ball_2,16.0,20.0,-3.0,0.55
3.5,diagonal_crossing_ball,22.0,-15.0,-3.0,0.5
3.5,inner_patrol_ball,21.8019,8.8163,-3.0,0.45
3.5,target_patrol_ball,29.7516,22.7279,-3.0,0.45
3.75,fast_crossing_ball_1,10.0,-13.1,-3.0,0.55
3.75,fast_crossing_ball_2,16.0,20.0,-3.0,0.55
3.75,diagonal_crossing_ball,22.0,-15.0,-3.0,0.5
3.75,inner_patrol_ball,21.381,8.6577,-3.0,0.45
3.75,target_patrol_ball,29.7516,22.7279,-3.0,0.45
4.0,fast_crossing_ball_1,10.0,-12.8,-3.0,0.55
4.0,fast_crossing_ball_2,16.0,20.0,-3.0,0.55
4.0,diagonal_crossing_ball,22.0,-15.0,-3.0,0.5
4.0,inner_patrol_ball,20.9806,8.4528,-3.0,0.45
4.0,target_patrol_ball,29.7516,22.7279,-3.0,0.45
4.25,fast_crossing_ball_1,10.0,-12.5,-3.0,0.55
4.25,fast_crossing_ball_2,16.0,20.0,-3.0,0.55
4.25,diagonal_crossing_ball,22.0,-15.0,-3.0,0.5
4.25,inner_patrol_ball,20.6058,8.2043,-3.0,0.45
4.25,target_patrol_ball,29.7516,22.7279,-3.0,0.45
4.5,fast_crossing_ball_1,10.0,-12.2,-3.0,0.55
4.5,fast_crossing_ball_2,16.0,20.0,-3.0,0.55
4.5,diagonal_crossing_ball,22.0,-15.0,-3.0,0.5
4.5,inner_patrol_ball,20.2612,7.9153,-3.0,0.45
4.5,target_patrol_ball,29.7516,22.7279,-3.0,0.45
4.75,fast_crossing_ball_1,10.0,-11.9,-3.0,0.55
4.75,fast_crossing_ball_2,16.0,20.0,-3.0,0.55
4.75,diagonal_crossing_ball,22.0,-15.0,-3.0,0.5
4.75,inner_patrol_ball,19.9512,7.5894,-3.0,0.45
4.75,target_patrol_ball,29.7516,22.7279,-3.0,0.45
5.0,fast_crossing_ball_1,10.0,-11.6,-3.0,0.55
5.0,fast_crossing_ball_2,16.0,20.0,-3.0,0.55
5.0,diagonal_crossing_ball,22.0,-15.0,-3.0,0.5
5.0,inner_patrol_ball,19.6798,7.2307,-3.0,0.45
5.0,target_patrol_ball,29.7516,22.7279,-3.0,0.45
5.25,fast_crossing_ball_1,10.0,-11.3,-3.0,0.55
5.25,fast_crossing_ball_2,16.0,20.0,-3.0,0.55
5.25,diagonal_crossing_ball,22.0,-15.0,-3.0,0.5
5.25,inner_patrol_ball,19.4503,6.8439,-3.0,0.45
5.25,target_patrol_ball,30.1014,22.8623,-3.0,0.45
5.5,fast_crossing_ball_1,10.0,-11.0,-3.0,0.55
5.5,fast_crossing_ball_2,16.0,20.0,-3.0,0.55
5.5,diagonal_crossing_ball,22.0,-15.0,-3.0,0.5
5.5,inner_patrol_ball,19.2658,6.4337,-3.0,0.45
5.5,target_patrol_ball,30.4653,22.952,-3.0,0.45
5.75,fast_crossing_ball_1,10.0,-10.7,-3.0,0.55
5.75,fast_crossing_ball_2,16.0,20.0,-3.0,0.55
5.75,diagonal_crossing_ball,22.0,-15.0,-3.0,0.5
5.75,inner_patrol_ball,19.1284,6.0055,-3.0,0.45
5.75,target_patrol_ball,30.8375,22.9956,-3.0,0.45
6.0,fast_crossing_ball_1,10.0,-10.4,-3.0,0.55
6.0,fast_crossing_ball_2,16.0,20.0,-3.0,0.55
6.0,diagonal_crossing_ball,22.0,-15.0,-3.0,0.5
6.0,inner_patrol_ball,19.04,5.5645,-3.0,0.45
6.0,target_patrol_ball,31.2122,22.9925,-3.0,0.45
6.25,fast_crossing_ball_1,10.0,-10.1,-3.0,0.55
6.25,fast_crossing_ball_2,16.0,19.675,-3.0,0.55
6.25,diagonal_crossing_ball,22.0,-15.0,-3.0,0.5
6.25,inner_patrol_ball,19.0017,5.1164,-3.0,0.45
6.25,target_patrol_ball,31.5836,22.9427,-3.0,0.45
6.5,fast_crossing_ball_1,10.0,-9.8,-3.0,0.55
6.5,fast_crossing_ball_2,16.0,19.35,-3.0,0.55
6.5,diagonal_crossing_ball,22.0,-15.0,-3.0,0.5
6.5,inner_patrol_ball,19.0139,4.6668,-3.0,0.45
6.5,target_patrol_ball,31.946,22.847,-3.0,0.45
6.75,fast_crossing_ball_1,10.0,-9.5,-3.0,0.55
6.75,fast_crossing_ball_2,16.0,19.025,-3.0,0.55
6.75,diagonal_crossing_ball,22.0,-15.0,-3.0,0.5
6.75,inner_patrol_ball,19.0765,4.2214,-3.0,0.45
6.75,target_patrol_ball,32.2935,22.7068,-3.0,0.45
7.0,fast_crossing_ball_1,10.0,-9.2,-3.0,0.55
7.0,fast_crossing_ball_2,16.0,18.7,-3.0,0.55
7.0,diagonal_crossing_ball,22.0,-15.0,-3.0,0.5
7.0,inner_patrol_ball,19.1887,3.7858,-3.0,0.45
7.0,target_patrol_ball,32.6209,22.5244,-3.0,0.45
7.25,fast_crossing_ball_1,10.0,-8.9,-3.0,0.55
7.25,fast_crossing_ball_2,16.0,18.375,-3.0,0.55
7.25,diagonal_crossing_ball,22.0,-15.0,-3.0,0.5
7.25,inner_patrol_ball,19.3491,3.3656,-3.0,0.45
7.25,target_patrol_ball,32.923,22.3026,-3.0,0.45
7.5,fast_crossing_ball_1,10.0,-8.6,-3.0,0.55
7.5,fast_crossing_ball_2,16.0,18.05,-3.0,0.55
