time,name,type,x,y,z,vx,vy,vz,radius
0.000,crossing_ball_1,sphere,10.0000,-10.0000,-3.0000,0.0000,0.0000,0.0000,0.5500
0.000,patrol_ball_1,sphere,22.0000,8.0000,-3.0000,-0.0000,1.4000,0.0000,0.4500
0.500,crossing_ball_1,sphere,10.0000,-10.0000,-3.0000,0.0000,0.0000,0.0000,0.5500
0.500,patrol_ball_1,sphere,21.9389,8.6964,-3.0000,-0.2438,1.3786,0.0000,0.4500
1.000,crossing_ball_1,sphere,10.0000,-10.0000,-3.0000,0.0000,0.0000,0.0000,0.5500
1.000,patrol_ball_1,sphere,21.7575,9.3716,-3.0000,-0.4801,1.3151,0.0000,0.4500
1.500,crossing_ball_1,sphere,10.0000,-10.0000,-3.0000,0.0000,0.0000,0.0000,0.5500
1.500,patrol_ball_1,sphere,21.4613,10.0049,-3.0000,-0.7017,1.2115,0.0000,0.4500
2.000,crossing_ball_1,sphere,10.0000,-10.0000,-3.0000,0.0000,0.0000,0.0000,0.5500
2.000,patrol_ball_1,sphere,21.0594,10.5769,-3.0000,-0.9019,1.0708,0.0000,0.4500
2.500,crossing_ball_1,sphere,10.0000,-10.0000,-3.0000,0.0000,0.0000,0.0000,0.5500
2.500,patrol_ball_1,sphere,20.5640,11.0702,-3.0000,-1.0746,0.8974,0.0000,0.4500
3.000,crossing_ball_1,sphere,10.0000,-10.0000,-3.0000,0.0000,0.0000,0.0000,0.5500
3.000,patrol_ball_1,sphere,19.9903,11.4697,-3.0000,-1.2144,0.6966,0.0000,0.4500
3.500,crossing_ball_1,sphere,10.0000,-10.0000,-3.0000,0.0000,0.0000,0.0000,0.5500
3.500,patrol_ball_1,sphere,19.3558,11.7632,-3.0000,-1.3171,0.4745,0.0000,0.4500
4.000,crossing_ball_1,sphere,10.0000,-10.0000,-3.0000,0.0000,0.0000,0.0000,0.5500
4.000,patrol_ball_1,sphere,18.6799,11.9418,-3.0000,-1.3796,0.2380,0.0000,0.4500
4.500,crossing_ball_1,sphere,10.0000,-9.5000,-3.0000,0.0000,1.0000,0.0000,0.5500
4.500,patrol_ball_1,sphere,17.9832,12.0000,-3.0000,-1.4000,-0.0059,0.0000,0.4500
5.000,crossing_ball_1,sphere,10.0000,-9.0000,-3.0000,0.0000,1.0000,0.0000,0.5500
5.000,patrol_ball_1,sphere,17.2870,11.9359,-3.0000,-1.3776,-0.2495,0.0000,0.4500
5.500,crossing_ball_1,sphere,10.0000,-8.5000,-3.0000,0.0000,1.0000,0.0000,0.5500
5.500,patrol_ball_1,sphere,16.6126,11.7517,-3.0000,-1.3131,-0.4856,0.0000,0.4500
6.000,crossing_ball_1,sphere,10.0000,-8.0000,-3.0000,0.0000,1.0000,0.0000,0.5500
6.000,patrol_ball_1,sphere,15.9806,11.4528,-3.0000,-1.2085,-0.7068,0.0000,0.4500
6.500,crossing_ball_1,sphere,10.0000,-7.5000,-3.0000,0.0000,1.0000,0.0000,0.5500
6.500,patrol_ball_1,sphere,15.4103,11.0485,-3.0000,-1.0670,-0.9064,0.0000,0.4500
7.000,crossing_ball_1,sphere,10.0000,-7.0000,-3.0000,0.0000,1.0000,0.0000,0.5500
7.000,patrol_ball_1,sphere,14.9191,10.5511,-3.0000,-0.8929,-1.0783,0.0000,0.4500
7.500,crossing_ball_1,sphere,10.0000,-6.5000,-3.0000,0.0000,1.0000,0.0000,0.5500
7.500,patrol_ball_1,sphere,14.5220,9.9757,-3.0000,-0.6915,-1.2173,0.0000,0.4500
8.000,crossing_ball_1,sphere,10.0000,-6.0000,-3.0000,0.0000,1.0000,0.0000,0.5500
8.000,patrol_ball_1,sphere,14.2311,9.3400,-3.0000,-0.4690,-1.3191,0.0000,0.4500
8.500,crossing_ball_1,sphere,10.0000,-5.5000,-3.0000,0.0000,1.0000,0.0000,0.5500
8.500,patrol_ball_1,sphere,14.0554,8.6633,-3.0000,-0.2322,-1.3806,0.0000,0.4500
9.000,crossing_ball_1,sphere,10.0000,-5.0000,-3.0000,0.0000,1.0000,0.0000,0.5500
9.000,patrol_ball_1,sphere,14.0001,7.9664,-3.0000,0.0118,-1.4000,0.0000,0.4500
9.500,crossing_ball_1,sphere,10.0000,-4.5000,-3.0000,0.0000,1.0000,0.0000,0.5500
9.500,patrol_ball_1,sphere,14.0671,7.2705,-3.0000,0.2553,-1.3765,0.0000,0.4500
10.000,crossing_ball_1,sphere,10.0000,-4.0000,-3.0000,0.0000,1.0000,0.0000,0.5500
10.000,patrol_ball_1,sphere,14.2542,6.5969,-3.0000,0.4911,-1.3110,0.0000,0.4500
10.500,crossing_ball_1,sphere,10.0000,-3.5000,-3.0000,0.0000,1.0000,0.0000,0.5500
10.500,patrol_ball_1,sphere,14.5557,5.9661,-3.0000,0.7119,-1.2055,0.0000,0.4500
11.000,crossing_ball_1,sphere,10.0000,-3.0000,-3.0000,0.0000,1.0000,0.0000,0.5500
11.000,patrol_ball_1,sphere,14.9624,5.3975,-3.0000,0.9109,-1.0632,0.0000,0.4500
11.500,crossing_ball_1,sphere,10.0000,-2.5000,-3.0000,0.0000,1.0000,0.0000,0.5500
11.500,patrol_ball_1,sphere,15.4619,4.9084,-3.0000,1.0821,-0.8883,0.0000,0.4500
12.000,crossing_ball_1,sphere,10.0000,-2.0000,-3.0000,0.0000,1.0000,0.0000,0.5500
12.000,patrol_ball_1,sphere,16.0390,4.5137,-3.0000,1.2202,-0.6864,0.0000,0.4500
12.500,crossing_ball_1,sphere,10.0000,-1.5000,-3.0000,0.0000,1.0000,0.0000,0.5500
12.500,patrol_ball_1,sphere,16.6759,4.2255,-3.0000,1.3211,-0.4634,0.0000,0.4500
13.000,crossing_ball_1,sphere,10.0000,-1.0000,-3.0000,0.0000,1.0000,0.0000,0.5500
